,bond_price,stock_price,bond_rtn,stock_rtn,diff,bond_pos,stock_pos
2022-06-20 11:17:00,151.5,136.2,0.015619762686867489,0.02267607748911238,-0.00705631480224489,1.0,-1.0
2022-06-20 11:18:00,151.47,136.21,0.01541864986257302,0.022751163838414135,-0.007332513975841115,1.0,-1.0
2022-06-20 11:19:00,151.22,136.03,0.013742709660119479,0.021399609550983634,-0.007656899890864155,1.0,-1.0
2022-06-20 11:20:00,150.91,135.38,0.011664543809077,0.016518996846373257,-0.004854453037296258,1.0,-1.0
2022-06-20 11:21:00,150.87,135.21,0.011396393376684522,0.015242528908244513,-0.003846135531559991,1.0,-1.0
2022-06-20 11:22:00,150.7,135.0,0.010256754039015936,0.013665715572908743,-0.003408961533892807,1.0,-1.0
2022-06-20 11:23:00,150.67,134.95,0.010055641214721467,0.013290283826400184,-0.0032346426116787175,1.0,-1.0
2022-06-20 11:24:00,150.37,135.19,0.008044512971777218,0.015092356209641,-0.007047843237863782,1.0,-1.0
2022-06-20 11:25:00,150.29,134.94,0.0075082121069920404,0.01321519747709865,-0.00570698537010661,1.0,-1.0
2022-06-20 11:26:00,150.58,135.09,0.009452302741838281,0.014341492716624105,-0.004889189974785824,1.0,-1.0
2022-06-20 11:27:00,150.58,134.98,0.009452302741838281,0.01351554287430523,-0.00406324013246695,1.0,-1.0
2022-06-20 11:28:00,150.72,135.11,0.010390829255212175,0.014491665415227617,-0.004100836160015442,1.0,-1.0
2022-06-20 11:29:00,150.8,135.39,0.010927130119997575,0.01659408319567479,-0.005666953075677217,1.0,-1.0
2022-06-20 13:00:00,150.88,135.25,0.01146343098478253,0.015542874305451315,-0.004079443320668785,1.0,-1.0
2022-06-20 13:01:00,150.86,135.12,0.011329355768586291,0.014566751764529151,-0.00323739599594286,1.0,-1.0
2022-06-20 13:02:00,150.72,135.12,0.010390829255212175,0.014566751764529151,-0.004175922509316976,1.0,-1.0
2022-06-20 13:03:00,150.65,134.92,0.009921565998525228,0.013065024778495138,-0.00314345877996991,1.0,-1.0
2022-06-20 13:04:00,150.66,134.77,0.009988603606623458,0.011938729538969906,-0.001950125932346447,1.0,-1.0
2022-06-20 13:05:00,150.38,134.47,0.008111550579875448,0.009686139059918775,-0.0015745884800433263,1.0,-1.0
2022-06-20 13:06:00,150.37,134.15,0.008044512971777218,0.0072833758822645756,0.0007611370895126424,0.0,0.0
2022-06-20 13:07:00,150.44,134.3,0.008513776228464165,0.00840967112179003,0.00010410510667413497,0.0,0.0
2022-06-20 13:08:00,150.85,134.62,0.01126231816048806,0.010812434299444451,0.00044988386104360956,0.0,0.0
2022-06-20 13:09:00,150.86,134.88,0.011329355768586291,0.012764679381288335,-0.0014353236127020441,0.0,0.0
2022-06-20 13:10:00,150.71,134.72,0.010323791647114167,0.011563297792461347,-0.00123950614534718,0.0,0.0
2022-06-20 13:11:00,150.58,134.69,0.009452302741838281,0.011338038744556078,-0.0018857360027177972,0.0,0.0
